subregion,parent_region
ACAd6a,NaN
AId6a,NaN
AId6b,NaN
CA1,CA1
CA2,NaN
CA3,NaN
CP,NaN
DG-mo,NaN
HPF,NaN
MB,NaN
MOp1,NaN
MOp2/3,NaN
MOp5,NaN
MOp6a,NaN
MOs1,NaN
MOs2/3,MOs
MOs5,MOs
MOs6a,MOs
MOs6b,NaN
NOT,NaN
Not found in brain,NaN
ORBl6a,NaN
PL6a,NaN
PL6b,NaN
POST,NaN
PPT,NaN
RSPagl1,NaN
RSPagl2/3,NaN
RSPagl5,RSP
RSPagl6a,RSP
RSPd1,RSP
RSPd2/3,RSP
RSPd5,RSP
RSPd6a,RSP
RSPv1,RSP
RSPv2/3,RSP
RSPv5,RSP
RSPv6a,RSP
SCig,NaN
SCop,SC
SCsg,SC
SCzo,SC
SEZ,NaN
SSp-bfd6a,SSp
SSp-bfd6b,SSp
SSp-ll1,SSp
SSp-ll2/3,SSp
SSp-ll4,SSp
SSp-ll5,SSp
SSp-ll6a,SSp
SSp-ll6b,SSp
SSp-m6a,SSp
SSp-n4,SSp
SSp-n5,SSp
SSp-n6a,SSp
SSp-n6b,SSp
SSp-tr6b,SSp
SSp-ul1,SSp
SSp-ul2/3,SSp
SSp-ul4,SSp
SSp-ul5,SSp
SSp-ul6a,SSp
SSp-ul6b,SSp
SSp-un1,SSp
SSp-un2/3,SSp
SSp-un4,SSp
SSp-un5,SSp
SSp-un6a,SSp
SSp-un6b,SSp
SUB,NaN
VISa1,PTLp
VISa2/3,PTLp
VISa4,PTLp
VISa5,PTLp
VISa6a,PTLp
VISa6b,PTLp
VISam1,VISam
VISam2/3,VISam
VISam4,VISam
VISam5,VISam
VISp1,VISp
VISp2/3,VISp
VISp4,VISp
VISp5,VISp
VISp6a,VISp
VISp6b,VISp
VISpm1,NaN
VISpm2/3,NaN
VISpm4,NaN
VISpm5,NaN
VISpm6a,NaN
VISrl2/3,PTLp
VISrl4,PTLp
VISrl5,PTLp
VISrl6a,PTLp
VL,NaN
alv,NaN
ccb,NaN
ccs,NaN
cing,NaN
fa,NaN
fp,NaN
or,NaN
root,NaN
scwm,NaN
